ConservationActions.ConservationActionsSubfield.ConservationActionsLookup,ConservationActions.ConservationActionsSubfield.ConservationActionsName,ConservationActions.ConservationActionsSubfield.note,internal_taxon_id
2.1,,"",54748
2.1,,,54801
2.1,,"",55273
2.1,,"",55274
2.1,,"",55275
2.1,,"",55276
2.1,,,56112
2.1,,"",56204
2.1,,,56267
2.1,,"",56268
2.1,,,57711
2.1,,,57714
2.1,,,57715
2.1,,,57717
2.1,,,57719
2.1,,,58059
2.1,,"",58069
2.1,,"",58071
2.1,,"",58072
5.1.3,,,58076
2.1,,,58076
2.3,,,58076
1.1,,,58076
2.1,,"",58535
2.1,,,58764
2.1,,"",58768
2.1,,,10644
1.1,,,10644
1.1,,,11700
2.1,,,1301
1.1,,,1301
1.2,,,1301
2.1,,,13318
1.1,,,13318
2.1,,,174664
2.2,,,174664
2.1,,,23124
2.3,,,23124
2.1,,,3070
2.3,,,3070
1.1,,,3070
2.2,,,3776
5.4.3,,,54723
4.3,,,54723
2.1,,,54723
2.2,,,54723
2.1,,,56065
2.2,,,56065
1.1,,,56065
5.4.3,,,57713
2.1,,,57713
1.1,,,57713
2.1,,,57721
2.1,,,58058
2.2,,,58058
2.1,,,58060
2.2,,,58060
2.1,,,58061
2.2,,,58061
2.1,,,58062
5.3,,,58062
1.1,,,58062
2.1,,,61860
2.2,,,61860
2.1,,,9772
2.2,,,9772
1.1,,,9772
1.2,,,9772
3.2,,,9773
2.1,,,58057
2.1,,"",56108
1.1,,"",56108
1.2,,"",56108
2.1,,"",136026
1.1,,"",136026
1.2,,"",136026
